exper,incent,ticket,member,earning fm,depend,work,Graduate,LC,lang,Performance
7.0,5000,25000,3,1,2,1.0,1.0,6058,3,1
31032023.0,5000,1000000,3,0,3,1.0,1.0,6196,2,1
6.0,15000,2000000,3,1,1,1.0,1.0,6025,2,1
0.0,15000,1200000,3,0,2,1.0,0.0,6022,1,1
0.0,0,25000,1,1,2,1.0,0.43,6262,2,0
0.0,5000,1200000,5,0,2,1.0,0.0,6023,3,1
5.0,5000,2000000,5,4,2,1.0,1.0,6278,2,0
4.0,15000,125000,1,2,1,1.0,0.43,6244,2,0
10.0,15000,400000,5,0,4,1.0,0.43,6291,1,1
0.0,15000,1200000,1,0,2,1.0,0.0,6386,1,1
3.0,5000,2000000,5,2,3,1.0,1.0,6111,2,0
0.0,0,0,5,2,3,1.0,1.0,6091,2,0
7.0,15000,1000000,1,1,2,1.0,0.08,6048,3,1
8.0,8000,2000000,5,2,2,1.0,1.0,2241,2,1
6.0,5000,400000,3,1,2,1.0,1.0,6425,3,0
3.583333333,15000,1200000,5,0,3,1.0,1.0,6294,3,1
0.0,2000,1200000,1,0,1,1.0,0.0,6070,2,0
6.0,5000,1000000,3,1,3,0.5,0.43,6039,3,1
2.0,5000,400000,3,0,3,1.0,1.0,6187,3,0
7.0,5000,1000000,3,2,2,1.0,1.0,6296,1,0
12.0,15000,2000000,1,1,2,1.0,1.0,6298,2,0
7.0,15000,2000000,3,1,3,1.0,1.0,6035,2,0
10.0,5000,1000000,3,0,4,1.0,1.0,6257,2,0
2.0,5000,0,3,5,4,1.0,0.03,6017,3,1
2.419166667,8000,1200000,5,0,2,1.0,1.0,6428,2,0
6.0,0,125000,5,2,1,1.0,0.43,6145,2,1
0.0,5000,1200000,3,0,0,1.0,0.0,6386,2,1
1.0,15000,2000000,3,1,2,1.0,1.0,6141,3,1
6.0,15000,2000000,3,0,3,1.0,1.0,6257,1,1
0.0,0,0,3,2,3,1.0,1.0,6005,2,1
6.6,15000,25000,3,1,3,1.0,1.0,6019,1,0
2.0,15000,2000000,3,1,4,1.0,1.0,6043,2,1
2.0,5000,0,3,2,2,1.0,1.0,6037,2,0
0.0,0,400000,5,0,2,1.0,0.0,6070,3,0
2.0,5000,125000,3,0,4,1.0,0.08,6030,1,0
5.0,5000,2000000,3,1,2,1.0,0.43,6052,3,0
7.0,15000,2000000,3,0,5,1.0,0.43,2108,1,0
3.0,5000,2000000,3,1,1,1.0,1.0,6264,3,1
6.0,0,0,5,2,2,1.0,1.0,6410,1,0
2.0,5000,1200000,5,0,4,1.0,1.0,6368,3,0
2.0,15000,2000000,3,5,3,1.0,0.08,6050,1,0
1.5,5000,1000000,3,1,3,1.0,1.0,6001,1,1
3.0,5000,2000000,3,1,2,1.0,0.43,6436,1,1
7.0,15000,2000000,5,1,2,1.0,1.0,6043,1,1
4.0,15000,2000000,3,1,3,1.0,1.0,6294,2,1
0.0,15000,1200000,3,0,0,1.0,0.0,6266,3,0
3.0,0,25000,1,5,1,1.0,1.0,6298,1,0
5.0,8000,400000,3,1,3,1.0,1.0,6189,1,1
4.0,15000,2000000,1,1,2,1.0,0.43,6045,2,0
1.0,0,1000000,3,2,3,1.0,0.43,6034,3,1
0.0,8000,1200000,5,0,0,1.0,0.0,6266,2,0
0.0,0,0,3,1,3,1.0,0.43,6035,1,0
10.0,8000,2000000,5,1,3,1.0,0.43,6256,1,0
2.0,8000,2000000,3,1,2,1.0,0.03,6181,1,1
0.0,8000,400000,1,0,2,1.0,1.0,6382,1,0
0.0,15000,25000,5,0,3,1.0,0.0,6367,1,0
13.0,8000,2000000,1,1,2,1.0,1.0,6067,2,0
2.0,8000,1000000,3,1,1,1.0,1.0,6025,1,0
3.0,5000,2000000,3,1,2,1.0,1.0,6035,3,1
0.4,5000,1000000,5,1,3,1.0,0.43,6372,3,0
8.0,15000,125000,5,0,4,1.0,0.43,6019,3,1
6.0,15000,400000,3,0,3,1.0,1.0,6294,1,0
0.0,15000,1200000,3,0,2,1.0,0.0,6296,1,1
1.0,2000,125000,5,3,0,1.0,1.0,6025,3,1
7.0,15000,2000000,5,5,1,1.0,0.43,6263,1,0
10.0,15000,400000,5,2,3,1.0,0.43,6215,3,0
4.0,15000,2000000,5,2,1,1.0,1.0,6147,3,0
0.0,15000,1200000,3,0,1,1.0,0.0,6386,1,0
2.0,8000,400000,1,1,2,1.0,1.0,6204,2,1
4.0,5000,125000,3,1,2,1.0,1.0,6369,2,0
14.0,5000,125000,5,0,5,1.0,1.0,6073,2,0
3.0,5000,1000000,5,4,4,1.0,0.43,6258,1,0
3.0,15000,0,3,1,1,1.0,0.43,6372,1,0
16.0,5000,0,3,0,3,1.0,1.0,6133,2,1
9.0,15000,1000000,5,0,5,1.0,1.0,6039,1,0
0.0,5000,400000,5,0,5,1.0,0.0,2088,1,0
2.0,5000,2000000,1,1,0,1.0,0.08,6039,2,0
2.0,0,2000000,3,1,2,1.0,1.0,6425,3,0
7.666666667,2000,25000,1,0,1,1.0,1.0,6460,3,1
6.333333333,15000,1200000,5,0,5,1.0,1.0,2241,1,1
6.0,15000,125000,3,2,2,1.0,0.43,2162,3,1
4.0,8000,1000000,3,1,2,1.0,1.0,6444,2,0
3.833333333,8000,1200000,5,0,3,1.0,0.43,6306,2,1
5.0,15000,2000000,1,0,1,1.0,1.0,6196,3,1
10.0,5000,25000,3,5,4,0.5,0.43,6374,2,0
6.583333333,15000,1200000,3,0,3,1.0,1.0,6266,3,1
3.416666667,5000,1200000,3,0,3,1.0,0.43,6020,3,0
3.5,5000,125000,5,5,3,1.0,1.0,2180,2,1
6.0,2000,2000000,3,3,2,1.0,0.43,6283,3,0
6.0,8000,25000,5,3,5,1.0,1.0,6007,1,0
0.0,8000,1200000,3,0,2,1.0,0.0,6261,1,0
1.0,15000,0,5,5,2,1.0,1.0,6431,3,1
4.0,5000,2000000,3,2,2,1.0,0.08,6030,2,1
8.0,15000,2000000,5,1,4,1.0,0.43,6059,2,0
5.0,8000,400000,5,1,4,1.0,1.0,6259,3,0
3.4,5000,125000,3,2,0,1.0,1.0,6120,3,0
1.0,15000,400000,3,2,4,1.0,0.08,6096,2,0
3.5,5000,1200000,1,0,2,1.0,1.0,6246,1,0
3.0,5000,2000000,1,0,2,1.0,1.0,6057,3,0
0.0,0,0,5,0,5,1.0,0.0,6296,1,1
5.0,8000,1000000,1,1,1,1.0,0.03,6120,3,1
5.633333333,0,1200000,5,0,2,1.0,1.0,6294,1,0
2.0,5000,25000,3,1,3,1.0,0.43,6297,3,0
3.0,15000,400000,3,1,2,1.0,1.0,6046,2,0
5.0,15000,1000000,5,2,3,1.0,1.0,2241,3,1
12.0,8000,2000000,3,1,3,1.0,1.0,2241,2,1
2.0,0,0,5,0,3,1.0,0.43,6105,1,0
1.0,5000,400000,3,5,2,1.0,1.0,6075,2,0
6.0,5000,2000000,1,0,2,1.0,1.0,6314,2,0
4.0,15000,1000000,5,5,3,1.0,1.0,6440,3,0
8.0,15000,125000,3,1,3,1.0,0.43,6251,3,1
2.0,15000,400000,5,0,0,1.0,1.0,6246,1,0
5.0,15000,2000000,5,1,3,1.0,0.43,6130,2,1
2.0,15000,400000,5,1,1,1.0,1.0,6267,1,0
0.0,0,0,3,2,2,1.0,0.43,6059,1,0
0.0,15000,1200000,3,0,3,1.0,1.0,6113,1,0
7.0,5000,125000,5,2,5,1.0,1.0,6048,3,0
15.0,5000,2000000,3,0,4,1.0,1.0,6166,1,1
0.0,5000,1200000,1,0,1,1.0,0.0,6020,2,0
4.0,2000,1200000,5,0,5,1.0,1.0,6297,1,0
0.0,15000,25000,5,0,4,1.0,0.0,6296,3,1
0.0,15000,25000,5,1,4,1.0,1.0,6251,2,0
0.0,5000,400000,3,0,1,1.0,0.0,6351,1,0
2.0,2000,400000,5,0,5,1.0,1.0,6448,2,0
0.0,0,1200000,1,0,0,1.0,1.0,6266,3,0
6.0,15000,1000000,1,0,2,1.0,1.0,6219,1,0
4.0,15000,125000,3,5,1,1.0,1.0,6264,1,0
0.0,15000,1200000,5,0,4,1.0,0.0,2050,1,0
3.0,5000,25000,5,3,4,1.0,1.0,6327,3,0
5.0,15000,400000,3,0,5,1.0,1.0,6296,2,1
10.0,15000,2000000,5,3,5,1.0,1.0,6030,1,0
5.0,15000,2000000,3,2,4,1.0,1.0,6265,1,1
7.0,5000,2000000,3,1,3,1.0,0.43,6049,1,0
7.0,15000,400000,3,2,1,1.0,1.0,6016,1,1
0.0,2000,0,3,0,1,1.0,0.0,6297,2,0
10.0,0,2000000,3,1,2,1.0,1.0,6263,3,0
4.0,8000,0,3,2,2,1.0,1.0,6389,3,0
18.0,15000,2000000,3,0,2,1.0,1.0,6219,2,1
0.0,0,0,3,2,3,1.0,0.43,6046,1,0
0.0,5000,1200000,3,0,2,1.0,0.0,2050,2,0
0.0,15000,400000,5,0,4,1.0,0.0,6306,2,0
8.0,5000,25000,3,1,2,1.0,0.43,6432,2,0
3.0,15000,400000,3,2,2,1.0,1.0,6043,2,1
1.5,15000,400000,3,1,3,1.0,0.43,6043,2,0
3.0,5000,1000000,3,2,1,1.0,1.0,6072,2,0
4.916666667,15000,1200000,5,0,0,1.0,1.0,6246,3,1
1.0,8000,125000,3,2,0,1.0,1.0,6038,3,0
7.0,15000,1200000,3,0,2,1.0,0.0,6022,2,1
1.0,5000,0,5,3,2,1.0,1.0,6333,2,0
7.0,8000,400000,3,2,4,1.0,0.43,6039,2,0
4.0,8000,400000,3,2,0,1.0,0.43,2162,3,1
4.0,5000,125000,1,1,1,1.0,0.43,6165,1,0
2.0,5000,1000000,3,1,2,1.0,0.43,2162,1,1
0.0,2000,400000,3,0,2,1.0,0.0,6020,1,0
4.25,15000,1200000,1,0,0,1.0,0.0,6115,2,0
8.0,2000,125000,5,3,2,1.0,1.0,6125,1,0
2.0,15000,1000000,3,0,3,1.0,1.0,2088,2,1
5.0,2000,1200000,5,0,3,1.0,1.0,6020,1,0
2.0,5000,125000,3,2,0,1.0,0.43,6037,3,0
5.0,5000,2000000,3,1,2,1.0,1.0,2162,3,0
2.5,2000,125000,1,1,0,1.0,0.43,6256,2,1
10.0,15000,2000000,3,1,2,1.0,1.0,6460,1,0
4.0,8000,400000,5,2,3,1.0,1.0,6043,1,0
2.0,5000,400000,3,0,1,1.0,1.0,6386,1,0
6.0,15000,1000000,3,2,2,1.0,0.43,6242,1,0
2.0,5000,2000000,3,2,0,1.0,1.0,2088,1,0
2.0,8000,2000000,3,2,4,1.0,0.43,6006,3,0
0.0,15000,1200000,3,0,3,1.0,0.0,6081,2,0
6.0,5000,2000000,1,0,1,1.0,1.0,6022,1,1
